quality/resolution,start_timestep,end_timestep,time_interval,x_range,y_range,z_range,total_read_time_seconds,absolute_data_points,min_temperature_ocean,max_temperature_ocean,rmse,average_signed_error(bias),median_absolute_error,average_absolute_error,percentage_average_error
-15,0,10366,800,"[1437, 2662]","[4228, 4773]","[0, 90]",7.398502,25857,0.0°C,35.410629°C,5.854507°C,-1.650702°C,4.11188°C,4.470591°C,13.90917%
-12,0,10366,800,"[1437, 2662]","[4228, 4773]","[0, 90]",7.35102,204204,0.0°C,35.427338°C,3.744132°C,-0.847669°C,1.447485°C,2.079272°C,6.458104%
-9,0,10366,800,"[1437, 2662]","[4228, 4773]","[0, 90]",7.813412,1623024,0.0°C,35.631882°C,2.60088°C,-0.061495°C,0.195005°C,0.882031°C,2.741151%
-6,0,10366,800,"[1437, 2662]","[4228, 4773]","[0, 90]",7.933257,12534678,0.0°C,35.65057°C,1.964875°C,-0.079258°C,0.093101°C,0.490143°C,1.521899%
-3,0,10366,800,"[1437, 2662]","[4228, 4773]","[0, 90]",13.459304,97739460,0.0°C,35.68499°C,1.373131°C,-0.10475°C,0.052841°C,0.289323°C,0.898347%
0,0,10366,100,"[1437, 2662]","[4228, 4773]","[0, 90]",300.473783,6248970000,0.0°C,36.800278°C,0.0°C,0.0°C,0.0°C,0.0°C,0.0%
-15,0,10366,100,"[1437, 2662]","[4228, 4773]","[0, 90]",59.756649,206856,0.0°C,35.889622°C,5.837867°C,-1.644577°C,4.073852°C,4.446721°C,13.815052%
-12,0,10366,100,"[1437, 2662]","[4228, 4773]","[0, 90]",59.051253,1633632,0.0°C,36.177605°C,3.732115°C,-0.842709°C,1.435525°C,2.067125°C,6.412394%
-9,0,10366,100,"[1437, 2662]","[4228, 4773]","[0, 90]",62.568707,12984192,0.0°C,36.179981°C,2.592477°C,-0.06516°C,0.194373°C,0.878245°C,2.726012%
-6,0,10366,100,"[1437, 2662]","[4228, 4773]","[0, 90]",64.960427,100277424,0.0°C,36.467976°C,1.958144°C,-0.0789°C,0.092649°C,0.487712°C,1.512491%
-3,0,10366,100,"[1437, 2662]","[4228, 4773]","[0, 90]",107.456059,781915680,0.0°C,36.369484°C,1.36801°C,-0.104172°C,0.052402°C,0.287652°C,0.892006%
0,0,10366,50,"[1437, 2662]","[4228, 4773]","[0, 90]",582.849595,12497940000,0.0°C,36.800278°C,0.0°C,0.0°C,0.0°C,0.0°C,0.0%
-15,0,10366,50,"[1437, 2662]","[4228, 4773]","[0, 90]",114.177686,413712,0.0°C,35.889622°C,5.880047°C,-1.588909°C,4.093921°C,4.475577°C,13.914754%
-12,0,10366,50,"[1437, 2662]","[4228, 4773]","[0, 90]",124.984262,3267264,0.0°C,36.177605°C,3.783823°C,-0.789607°C,1.467012°C,2.106816°C,6.549955%
-9,0,10366,50,"[1437, 2662]","[4228, 4773]","[0, 90]",133.11555,25968384,0.0°C,36.545135°C,2.606719°C,-0.052837°C,0.197622°C,0.88861°C,2.761966%
-6,0,10366,50,"[1437, 2662]","[4228, 4773]","[0, 90]",137.490232,200554848,0.0°C,36.560074°C,1.960487°C,-0.077349°C,0.092779°C,0.48911°C,1.517321%
-3,0,10366,50,"[1437, 2662]","[4228, 4773]","[0, 90]",302.594922,1563831360,0.0°C,36.537205°C,1.368532°C,-0.104005°C,0.052405°C,0.287841°C,0.892655%
0,0,30,1,"[0, 8640]","[0, 6480]","[0, 1]",3140.111844,1735603200,-3.526714°C,33.503223°C,0.0°C,0.0°C,0.0°C,0.0°C,0.0%
-15,0,30,1,"[0, 8640]","[0, 6480]","[0, 1]",18.941152,1699110,-1.943281°C,32.431156°C,1.994793°C,0.244049°C,0.192323°C,0.574634°C,1.619815%
-12,0,30,1,"[0, 8640]","[0, 6480]","[0, 1]",18.045672,6779700,-1.970952°C,32.862892°C,1.622376°C,0.148209°C,0.13867°C,0.41479°C,1.16923%
-9,0,30,1,"[0, 8640]","[0, 6480]","[0, 1]",19.076342,27118800,-2.086807°C,33.125145°C,1.200003°C,0.083954°C,0.077518°C,0.250409°C,0.70587%
-6,0,30,1,"[0, 8640]","[0, 6480]","[0, 1]",58.898795,108475200,-2.257842°C,33.199715°C,0.853388°C,0.044997°C,0.039184°C,0.137413°C,0.387351%
-3,0,30,1,"[0, 8640]","[0, 6480]","[0, 1]",201.301181,433900800,-2.329103°C,33.304909°C,0.533721°C,0.021582°C,0.014929°C,0.059887°C,0.168814%
0,0,30,1,"[0, 1000]","[0, 1500]","[0, 90]",89.6006,4185000000,-2.223715°C,5.554324°C,0.0°C,0.0°C,0.0°C,0.0°C,0.0%
-15,0,30,1,"[0, 1000]","[0, 1500]","[0, 90]",17.090925,139872,-1.87785°C,1.05401°C,0.572798°C,0.033156°C,0.324542°C,0.424409°C,5.679644%
-12,0,30,1,"[0, 1000]","[0, 1500]","[0, 90]",16.97474,1101492,-1.924639°C,1.073837°C,0.342513°C,0.046198°C,0.069862°C,0.188145°C,2.517833%
-9,0,30,1,"[0, 1000]","[0, 1500]","[0, 90]",18.688982,8742000,-1.940448°C,1.584725°C,0.188673°C,-0.002116°C,0.013898°C,0.075315°C,1.007888%
-6,0,30,1,"[0, 1000]","[0, 1500]","[0, 90]",21.377452,66843750,-1.937801°C,3.199049°C,0.143152°C,0.001397°C,0.008876°C,0.046698°C,0.624933%
-3,0,30,1,"[0, 1000]","[0, 1500]","[0, 90]",34.067322,523125000,-2.034846°C,4.839422°C,0.089705°C,0.004328°C,0.005346°C,0.025129°C,0.336291%
0,0,1444,1,"[7632, 8112]","[4779, 5273]","[0, 1]",2260.747119,342638400,-1.796511°C,24.435001°C,0.0°C,0.0°C,0.0°C,0.0°C,0.0%
-15,0,1444,1,"[7632, 8112]","[4779, 5273]","[0, 1]",842.534273,325125,-0.090285°C,24.038033°C,1.44126°C,-0.019843°C,0.616046°C,0.97714°C,3.973112%
-12,0,1444,1,"[7632, 8112]","[4779, 5273]","[0, 1]",839.951858,1343850,-1.728625°C,24.157547°C,1.117723°C,0.150934°C,0.430214°C,0.729104°C,2.966162%
-9,0,1444,1,"[7632, 8112]","[4779, 5273]","[0, 1]",912.484067,5375400,-1.717889°C,24.256535°C,0.889573°C,0.235092°C,0.274656°C,0.534538°C,2.174439%
-6,0,1444,1,"[7632, 8112]","[4779, 5273]","[0, 1]",922.692434,21501600,-1.688839°C,24.423712°C,0.491553°C,0.077618°C,0.120265°C,0.260997°C,1.062017%
-3,0,1444,1,"[7632, 8112]","[4779, 5273]","[0, 1]",1148.001793,85659600,-1.791574°C,24.424725°C,0.30559°C,0.045536°C,0.05609°C,0.132838°C,0.540474%
